행정구역,2010년10월_거주자_총인구수,2010년10월_거주자_연령구간인구수,2010년10월_거주자_0세,2010년10월_거주자_1세,2010년10월_거주자_2세,2010년10월_거주자_3세,2010년10월_거주자_4세,2010년10월_거주자_5세,2010년10월_거주자_6세,2010년10월_거주자_7세,2010년10월_거주자_8세,2010년10월_거주자_9세,2010년10월_거주자_10세,2010년10월_거주자_11세,2010년10월_거주자_12세,2010년10월_거주자_13세,2010년10월_거주자_14세,2010년10월_거주자_15세,2010년10월_거주자_16세,2010년10월_거주자_17세,2010년10월_거주자_18세,2010년10월_거주자_19세,2010년10월_거주자_20세,2010년10월_거주자_21세,2010년10월_거주자_22세,2010년10월_거주자_23세,2010년10월_거주자_24세,2010년10월_거주자_25세,2010년10월_거주자_26세,2010년10월_거주자_27세,2010년10월_거주자_28세,2010년10월_거주자_29세,2010년10월_거주자_30세,2010년10월_거주자_31세,2010년10월_거주자_32세,2010년10월_거주자_33세,2010년10월_거주자_34세,2010년10월_거주자_35세,2010년10월_거주자_36세,2010년10월_거주자_37세,2010년10월_거주자_38세,2010년10월_거주자_39세,2010년10월_거주자_40세,2010년10월_거주자_41세,2010년10월_거주자_42세,2010년10월_거주자_43세,2010년10월_거주자_44세,2010년10월_거주자_45세,2010년10월_거주자_46세,2010년10월_거주자_47세,2010년10월_거주자_48세,2010년10월_거주자_49세,2010년10월_거주자_50세,2010년10월_거주자_51세,2010년10월_거주자_52세,2010년10월_거주자_53세,2010년10월_거주자_54세,2010년10월_거주자_55세,2010년10월_거주자_56세,2010년10월_거주자_57세,2010년10월_거주자_58세,2010년10월_거주자_59세,2010년10월_거주자_60세,2010년10월_거주자_61세,2010년10월_거주자_62세,2010년10월_거주자_63세,2010년10월_거주자_64세,2010년10월_거주자_65세,2010년10월_거주자_66세,2010년10월_거주자_67세,2010년10월_거주자_68세,2010년10월_거주자_69세,2010년10월_거주자_70세,2010년10월_거주자_71세,2010년10월_거주자_72세,2010년10월_거주자_73세,2010년10월_거주자_74세,2010년10월_거주자_75세,2010년10월_거주자_76세,2010년10월_거주자_77세,2010년10월_거주자_78세,2010년10월_거주자_79세,2010년10월_거주자_80세,2010년10월_거주자_81세,2010년10월_거주자_82세,2010년10월_거주자_83세,2010년10월_거주자_84세,2010년10월_거주자_85세,2010년10월_거주자_86세,2010년10월_거주자_87세,2010년10월_거주자_88세,2010년10월_거주자_89세,2010년10월_거주자_90세,2010년10월_거주자_91세,2010년10월_거주자_92세,2010년10월_거주자_93세,2010년10월_거주자_94세,2010년10월_거주자_95세,2010년10월_거주자_96세,2010년10월_거주자_97세,2010년10월_거주자_98세,2010년10월_거주자_99세,2010년10월_거주자_100세 이상
서울특별시  (1100000000),"10,160,549","10,160,549","83,227","83,464","87,435","88,277","80,312","78,529","86,825","86,403","88,700","99,686","110,555","108,141","113,953","119,429","124,494","128,738","132,541","134,724","138,364","133,241","127,977","127,517","130,167","135,090","144,447","154,446","166,350","188,379","205,119","205,810","207,717","194,862","171,949","176,388","169,355","174,284","186,692","185,502","187,637","196,537","186,682","185,498","179,889","164,938","158,503","165,553","156,664","165,665","166,658","182,617","185,631","170,200","161,012","161,108","148,731","157,054","130,533","117,731","126,907","90,497","101,468","103,216","99,767","102,143","78,690","76,015","76,019","76,922","88,766","69,694","62,281","60,599","53,823","49,148","44,464","42,383","35,595","31,044","28,345","23,215","22,924","20,955","18,372","15,865","12,484","11,164","9,275","9,562","7,617","5,702","4,617","3,386","2,594","2,079","1,496","1,033",794,562,390,248,499
서울특별시 종로구 (1111000000),"165,604","165,604",964,"1,000","1,105","1,098","1,025","1,037","1,153","1,195","1,238","1,451","1,680","1,635","1,815","1,918","2,007","2,125","2,088","2,229","2,175","2,196","2,216","2,114","2,156","2,289","2,491","2,666","2,801","2,990","3,235","3,047","2,921","2,795","2,431","2,337","2,350","2,475","2,741","2,714","2,962","3,176","3,027","3,000","3,030","2,746","2,680","2,720","2,710","2,839","2,866","3,115","3,039","2,821","2,614","2,608","2,387","2,546","2,104","1,941","2,081","1,483","1,633","1,712","1,730","1,798","1,424","1,453","1,486","1,586","1,786","1,486","1,344","1,339","1,110","1,079",991,990,806,703,636,554,512,481,445,330,320,265,213,215,179,150,123,85,57,55,38,27,24,16,10,6,9
서울특별시 중구 (1114000000),"128,905","128,905","1,027",907,"1,037","1,039",829,812,937,896,883,"1,066","1,124","1,096","1,126","1,196","1,256","1,232","1,378","1,448","1,538","1,490","1,460","1,462","1,613","1,675","1,807","1,917","2,118","2,332","2,527","2,584","2,627","2,438","2,139","2,157","2,092","2,202","2,329","2,278","2,398","2,524","2,390","2,301","2,252","2,084","1,979","2,003","1,943","2,102","2,166","2,356","2,426","2,120","2,150","2,167","2,054","2,100","1,705","1,603","1,721","1,270","1,415","1,388","1,429","1,490","1,091","1,184","1,159","1,225","1,475","1,146","1,025","1,018",906,834,764,750,585,525,493,375,439,395,343,287,228,179,178,177,132,84,73,52,49,36,23,20,8,9,9,7,12
서울특별시 용산구 (1117000000),"236,877","236,877","2,033","1,898","2,001","2,102","1,778","1,807","1,838","1,851","1,915","2,148","2,265","2,243","2,252","2,335","2,317","2,524","2,466","2,518","2,684","2,676","2,566","2,603","2,628","2,784","3,144","3,356","3,741","4,445","4,971","5,131","5,225","4,731","4,194","4,251","4,204","4,330","4,597","4,624","4,867","4,871","4,651","4,560","4,253","3,774","3,520","3,702","3,436","3,725","3,720","4,006","3,960","3,788","3,629","3,641","3,400","3,560","3,035","2,644","2,812","1,996","2,354","2,447","2,392","2,497","1,891","1,979","2,003","2,066","2,549","2,014","1,769","1,772","1,711","1,554","1,436","1,284","1,131",999,879,743,706,683,561,499,395,345,283,299,217,180,133,99,77,61,44,21,30,11,18,8,11
서울특별시 성동구 (1120000000),"304,986","304,986","2,532","2,532","2,784","2,826","2,595","2,499","2,635","2,547","2,708","2,923","3,183","3,012","3,053","3,177","3,326","3,332","3,434","3,660","3,724","3,792","3,726","3,650","3,850","3,971","4,263","4,720","5,029","5,585","6,150","6,069","6,235","5,890","5,256","5,483","5,443","5,618","6,093","6,191","5,989","6,382","5,983","5,753","5,535","4,892","4,715","4,851","4,584","4,810","5,052","5,393","5,490","5,008","4,644","4,699","4,343","4,523","3,745","3,332","3,619","2,681","3,058","2,993","2,857","3,150","2,414","2,300","2,366","2,499","2,958","2,325","2,027","2,015","1,793","1,593","1,449","1,345","1,294",986,881,729,710,630,556,454,338,345,259,268,195,168,122,88,88,66,43,27,27,20,8,9,14
서울특별시 광진구 (1121500000),"370,732","370,732","2,968","2,809","2,943","2,974","2,711","2,673","2,993","2,948","3,002","3,456","3,929","4,015","4,189","4,343","4,555","4,845","4,917","4,990","5,000","4,924","4,754","4,889","5,030","5,542","5,911","6,519","7,132","8,172","8,759","8,395","8,430","7,673","6,588","6,651","6,216","6,308","6,709","6,550","6,724","7,115","6,791","6,792","6,728","6,122","5,893","6,229","5,778","6,164","6,086","6,737","6,786","6,249","5,885","5,642","5,269","5,464","4,510","4,039","4,360","3,035","3,199","3,378","3,325","3,368","2,617","2,479","2,571","2,480","2,885","2,221","2,098","1,940","1,837","1,589","1,327","1,316","1,101",946,884,694,696,616,583,487,390,315,291,284,251,187,137,106,82,66,54,40,20,22,17,8,15
서울특별시 동대문구 (1123000000),"359,475","359,475","2,575","2,729","2,972","2,923","2,728","2,624","2,895","2,809","2,927","3,239","3,579","3,449","3,634","3,710","3,860","3,956","4,218","4,286","4,401","4,381","4,362","4,401","4,680","5,129","5,506","6,000","6,166","6,894","7,420","7,330","7,038","6,597","5,831","6,029","5,695","5,999","6,411","6,456","6,530","6,901","6,360","6,276","6,061","5,569","5,417","5,578","5,085","5,574","5,593","6,206","6,605","6,058","5,641","5,735","5,377","5,764","4,866","4,424","4,737","3,490","3,863","3,809","3,910","4,060","3,174","3,240","3,199","3,400","3,869","3,018","2,733","2,641","2,364","2,120","1,951","1,823","1,532","1,267","1,185",897,854,860,735,609,456,394,303,354,276,221,189,121,93,87,57,35,28,22,16,7,17
서울특별시 중랑구 (1126000000),"422,022","422,022","3,186","3,264","3,432","3,406","3,158","3,045","3,291","3,327","3,424","3,884","4,378","4,321","4,530","4,921","5,093","5,216","5,622","5,594","6,105","5,599","5,407","5,495","5,714","5,586","6,086","6,403","6,837","7,551","8,263","8,136","8,222","7,642","6,714","6,856","6,418","6,662","7,302","7,405","7,362","7,806","7,547","7,546","7,563","7,020","6,808","7,202","6,827","7,181","7,542","8,369","8,417","7,541","7,081","7,152","6,533","6,904","5,867","5,106","5,544","4,009","4,371","4,505","4,265","4,349","3,396","3,315","3,334","3,313","3,907","3,020","2,645","2,644","2,267","1,988","1,855","1,720","1,453","1,233","1,070",945,921,848,756,611,487,438,340,379,272,213,209,123,104,87,51,52,39,34,13,15,13
서울특별시 성북구 (1129000000),"479,035","479,035","4,037","4,185","4,452","4,719","4,157","4,190","4,521","4,471","4,477","4,918","5,237","5,033","4,987","5,058","5,214","5,389","5,587","5,631","5,879","5,964","5,911","5,924","6,075","6,490","7,001","7,298","7,667","8,432","9,149","9,129","9,091","8,720","7,718","8,079","8,008","8,555","9,385","9,468","9,630","9,764","9,147","8,797","8,506","7,583","7,135","7,489","6,916","7,134","7,419","8,181","8,372","7,607","7,367","7,420","6,973","7,126","6,093","5,450","5,892","4,205","4,786","4,872","4,844","5,039","3,978","3,852","3,929","4,047","4,817","3,806","3,441","3,340","2,906","2,604","2,415","2,314","1,894","1,611","1,462","1,186","1,124","1,025",945,834,613,527,427,444,398,258,225,191,110,107,71,48,39,28,22,14,30
서울특별시 강북구 (1130500000),"340,556","340,556","2,538","2,633","2,652","2,696","2,479","2,473","2,604","2,759","2,776","3,121","3,537","3,309","3,552","3,753","3,869","4,009","4,226","4,229","4,416","4,158","3,872","3,989","3,973","4,190","4,437","4,795","5,139","5,834","6,435","6,309","6,536","6,030","5,380","5,691","5,350","5,721","6,160","6,223","6,329","6,538","6,127","6,072","5,875","5,386","5,175","5,453","4,990","5,407","5,328","6,091","6,351","5,719","5,459","5,458","5,167","5,453","4,537","4,138","4,700","3,357","3,757","4,115","4,000","4,165","3,184","3,223","3,368","3,371","4,046","3,145","2,695","2,683","2,349","2,066","1,914","1,737","1,408","1,142","1,091",831,819,762,651,544,405,370,321,326,263,207,157,130,92,64,63,37,31,17,12,13,19
